2021-08-05T16:38:46+02:00
Running build/bin/bench
Run on (8 X 3900 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 1024 KiB (x4)
  L3 Unified 8448 KiB (x1)
Load Average: 0.05, 0.19, 0.30
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"BytesProcessed","ItemsProcessed","dataSize","wireSize"
"memcpy(Benchmark)/10000/0/0/repeats:3",67223,10442,10442,ns,,,,,,2.68563e+10,95767.3,280433,280433
"memcpy(Benchmark)/10000/0/0/repeats:3",67223,10396,10395.8,ns,,,,,,2.69756e+10,96192.7,280433,280433
"memcpy(Benchmark)/10000/0/0/repeats:3",67223,10410.1,10410,ns,,,,,,2.69389e+10,96061.8,280433,280433
"memcpy(Benchmark)/10000/0/0/repeats:3_mean",3,10416.1,10415.9,ns,,,,,,2.69236e+10,96007.3,280433,280433
"memcpy(Benchmark)/10000/0/0/repeats:3_median",3,10410.1,10410,ns,,,,,,2.69389e+10,96061.8,280433,280433
"memcpy(Benchmark)/10000/0/0/repeats:3_stddev",3,23.5613,23.6534,ns,,,,,,6.10916e+07,217.847,0,0
"memcpy(Benchmark)/10/100/1/repeats:3",31993,21875.3,21875.2,ns,,,,,,1.87593e+10,45713.9,410363,410363
"memcpy(Benchmark)/10/100/1/repeats:3",31993,21878.4,21877.5,ns,,,,,,1.87573e+10,45709,410363,410363
"memcpy(Benchmark)/10/100/1/repeats:3",31993,21949.2,21948.9,ns,,,,,,1.86963e+10,45560.3,410363,410363
"memcpy(Benchmark)/10/100/1/repeats:3_mean",3,21901,21900.6,ns,,,,,,1.87376e+10,45661,410363,410363
"memcpy(Benchmark)/10/100/1/repeats:3_median",3,21878.4,21877.5,ns,,,,,,1.87573e+10,45709,410363,410363
"memcpy(Benchmark)/10/100/1/repeats:3_stddev",3,41.7886,41.9209,ns,,,,,,3.5827e+07,87.3057,0,0
"memcpy(Benchmark)/256/0/0/repeats:3",5742431,119.26,119.258,ns,,,,,,6.37357e+10,8.38517e+06,7601,7601
"memcpy(Benchmark)/256/0/0/repeats:3",5742431,118.711,118.709,ns,,,,,,6.40306e+10,8.42397e+06,7601,7601
"memcpy(Benchmark)/256/0/0/repeats:3",5742431,118.977,118.974,ns,,,,,,6.38881e+10,8.40523e+06,7601,7601
"memcpy(Benchmark)/256/0/0/repeats:3_mean",3,118.983,118.98,ns,,,,,,6.38848e+10,8.40479e+06,7601,7601
"memcpy(Benchmark)/256/0/0/repeats:3_median",3,118.977,118.974,ns,,,,,,6.38881e+10,8.40523e+06,7601,7601
"memcpy(Benchmark)/256/0/0/repeats:3_stddev",3,0.274582,0.27469,ns,,,,,,1.47479e+08,19402.6,0,0
"memcpy(Benchmark)/512/0/0/repeats:3",3469272,201.263,201.257,ns,,,,,,7.33839e+10,4.96878e+06,14769,14769
"memcpy(Benchmark)/512/0/0/repeats:3",3469272,200.366,200.362,ns,,,,,,7.37114e+10,4.99096e+06,14769,14769
"memcpy(Benchmark)/512/0/0/repeats:3",3469272,198.339,198.338,ns,,,,,,7.44637e+10,5.04189e+06,14769,14769
"memcpy(Benchmark)/512/0/0/repeats:3_mean",3,199.989,199.986,ns,,,,,,7.3853e+10,5.00054e+06,14769,14769
"memcpy(Benchmark)/512/0/0/repeats:3_median",3,200.366,200.362,ns,,,,,,7.37114e+10,4.99096e+06,14769,14769
"memcpy(Benchmark)/512/0/0/repeats:3_stddev",3,1.4978,1.49525,ns,,,,,,5.53656e+08,37487.7,0,0
"memcpy(Benchmark)/1024/0/0/repeats:3",623614,1110.32,1110.28,ns,,,,,,2.6214e+10,900671,29105,29105
"memcpy(Benchmark)/1024/0/0/repeats:3",623614,1104.2,1104.19,ns,,,,,,2.63586e+10,905638,29105,29105
"memcpy(Benchmark)/1024/0/0/repeats:3",623614,1127.1,1127.06,ns,,,,,,2.58238e+10,887262,29105,29105
"memcpy(Benchmark)/1024/0/0/repeats:3_mean",3,1113.87,1113.85,ns,,,,,,2.61321e+10,897857,29105,29105
"memcpy(Benchmark)/1024/0/0/repeats:3_median",3,1110.32,1110.28,ns,,,,,,2.6214e+10,900671,29105,29105
"memcpy(Benchmark)/1024/0/0/repeats:3_stddev",3,11.8548,11.8439,ns,,,,,,2.76672e+08,9506,0,0
"memcpy(Benchmark)/2048/0/0/repeats:3",327031,2145.37,2145.35,ns,,,,,,2.69313e+10,466125,57777,57777
"memcpy(Benchmark)/2048/0/0/repeats:3",327031,2122.71,2122.7,ns,,,,,,2.72187e+10,471099,57777,57777
"memcpy(Benchmark)/2048/0/0/repeats:3",327031,2113.56,2113.48,ns,,,,,,2.73373e+10,473152,57777,57777
"memcpy(Benchmark)/2048/0/0/repeats:3_mean",3,2127.21,2127.18,ns,,,,,,2.71624e+10,470125,57777,57777
"memcpy(Benchmark)/2048/0/0/repeats:3_median",3,2122.71,2122.7,ns,,,,,,2.72187e+10,471099,57777,57777
"memcpy(Benchmark)/2048/0/0/repeats:3_stddev",3,16.3755,16.397,ns,,,,,,2.08771e+08,3613.39,0,0
"memcpy(Benchmark)/4096/0/0/repeats:3",165280,4261.27,4261.12,ns,,,,,,2.70166e+10,234680,115121,115121
"memcpy(Benchmark)/4096/0/0/repeats:3",165280,4236.7,4236.59,ns,,,,,,2.7173e+10,236039,115121,115121
"memcpy(Benchmark)/4096/0/0/repeats:3",165280,4201.87,4201.78,ns,,,,,,2.73982e+10,237995,115121,115121
"memcpy(Benchmark)/4096/0/0/repeats:3_mean",3,4233.28,4233.16,ns,,,,,,2.71959e+10,236238,115121,115121
"memcpy(Benchmark)/4096/0/0/repeats:3_median",3,4236.7,4236.59,ns,,,,,,2.7173e+10,236039,115121,115121
"memcpy(Benchmark)/4096/0/0/repeats:3_stddev",3,29.8477,29.8228,ns,,,,,,1.91831e+08,1666.34,0,0
"memcpy(Benchmark)/8192/0/0/repeats:3",81766,8374.11,8373.98,ns,,,,,,2.74432e+10,119418,229809,229809
"memcpy(Benchmark)/8192/0/0/repeats:3",81766,8354.13,8353.76,ns,,,,,,2.75097e+10,119707,229809,229809
"memcpy(Benchmark)/8192/0/0/repeats:3",81766,8378.93,8378.77,ns,,,,,,2.74275e+10,119349,229809,229809
"memcpy(Benchmark)/8192/0/0/repeats:3_mean",3,8369.05,8368.84,ns,,,,,,2.74601e+10,119491,229809,229809
"memcpy(Benchmark)/8192/0/0/repeats:3_median",3,8374.11,8373.98,ns,,,,,,2.74432e+10,119418,229809,229809
"memcpy(Benchmark)/8192/0/0/repeats:3_stddev",3,13.1483,13.2766,ns,,,,,,4.3598e+07,189.714,0,0
"OpenCMW/10000/0/0/repeats:3",26257,26737.2,26736.2,ns,,,,,,1.04889e+10,37402.5,280433,281544
"OpenCMW/10000/0/0/repeats:3",26257,26494.1,26492.9,ns,,,,,,1.05852e+10,37746,280433,281544
"OpenCMW/10000/0/0/repeats:3",26257,26810.1,26809.5,ns,,,,,,1.04602e+10,37300.3,280433,281544
"OpenCMW/10000/0/0/repeats:3_mean",3,26680.5,26679.5,ns,,,,,,1.05114e+10,37482.9,280433,281544
"OpenCMW/10000/0/0/repeats:3_median",3,26737.2,26736.2,ns,,,,,,1.04889e+10,37402.5,280433,281544
"OpenCMW/10000/0/0/repeats:3_stddev",3,165.463,165.704,ns,,,,,,6.54704e+07,233.462,0,0
"OpenCMW/10/100/1/repeats:3",34833,20088.2,20087.6,ns,,,,,,2.02463e+08,49782,4067,11713
"OpenCMW/10/100/1/repeats:3",34833,20284,20283.9,ns,,,,,,2.00504e+08,49300.1,4067,11708
"OpenCMW/10/100/1/repeats:3",34833,20158,20157.9,ns,,,,,,2.01757e+08,49608.4,4067,11716
"OpenCMW/10/100/1/repeats:3_mean",3,20176.7,20176.5,ns,,,,,,2.01575e+08,49563.5,4067,11712.3
"OpenCMW/10/100/1/repeats:3_median",3,20158,20157.9,ns,,,,,,2.01757e+08,49608.4,4067,11713
"OpenCMW/10/100/1/repeats:3_stddev",3,99.2403,99.4803,ns,,,,,,992553,244.05,0,4.04145
"OpenCMW/256/0/0/repeats:3",268102,2606.08,2606.05,ns,,,,,,2.91668e+09,383723,7601,8712
"OpenCMW/256/0/0/repeats:3",268102,2637.25,2637.23,ns,,,,,,2.88219e+09,379185,7601,8712
"OpenCMW/256/0/0/repeats:3",268102,2539.53,2539.5,ns,,,,,,2.99311e+09,393779,7601,8712
"OpenCMW/256/0/0/repeats:3_mean",3,2594.28,2594.26,ns,,,,,,2.93066e+09,385562,7601,8712
"OpenCMW/256/0/0/repeats:3_median",3,2606.08,2606.05,ns,,,,,,2.91668e+09,383723,7601,8712
"OpenCMW/256/0/0/repeats:3_stddev",3,49.9154,49.9225,ns,,,,,,5.67683e+07,7468.53,0,0
"OpenCMW/512/0/0/repeats:3",236496,3000.39,3000.37,ns,,,,,,4.92239e+09,333292,14769,15880
"OpenCMW/512/0/0/repeats:3",236496,2956.44,2956.36,ns,,,,,,4.99567e+09,338254,14769,15880
"OpenCMW/512/0/0/repeats:3",236496,2945.81,2945.77,ns,,,,,,5.01363e+09,339470,14769,15880
"OpenCMW/512/0/0/repeats:3_mean",3,2967.55,2967.5,ns,,,,,,4.97723e+09,337005,14769,15880
"OpenCMW/512/0/0/repeats:3_median",3,2956.44,2956.36,ns,,,,,,4.99567e+09,338254,14769,15880
"OpenCMW/512/0/0/repeats:3_stddev",3,28.9342,28.9575,ns,,,,,,4.83376e+07,3272.91,0,0
"OpenCMW/1024/0/0/repeats:3",186969,3761.28,3761.15,ns,,,,,,7.73833e+09,265876,29105,30216
"OpenCMW/1024/0/0/repeats:3",186969,3716.12,3716.01,ns,,,,,,7.83232e+09,269106,29105,30216
"OpenCMW/1024/0/0/repeats:3",186969,3719.27,3719.24,ns,,,,,,7.82553e+09,268872,29105,30216
"OpenCMW/1024/0/0/repeats:3_mean",3,3732.22,3732.13,ns,,,,,,7.79873e+09,267951,29105,30216
"OpenCMW/1024/0/0/repeats:3_median",3,3719.27,3719.24,ns,,,,,,7.82553e+09,268872,29105,30216
"OpenCMW/1024/0/0/repeats:3_stddev",3,25.2144,25.1808,ns,,,,,,5.24177e+07,1800.99,0,0
